"W3C","World Wide Web Consortium"
"G3ict","Iniciativa Global para TIC incluyente"
"Presidencia","Presidencia de la República"
"Banxico","Banco de México"
"INEGI","Instituto Nacional de Estadística, Geografía e Informática"
"PGR","Procuraduría General de la República"
"SAGAR","Secretaría de Agricultura, Ganadería y Desarrollo Rural"
"SCT","Secretaría de eComunicacions y Transportes"
"SECODAM","Secretaría de Contraloría y Desarrollo Administrativo"
"SEDESOL","Secretaría de Desarrollo Social"
"SG","Secretaría de Gobernación"
"SHCP","Secretaría de Hacienda y Crédito Público"
"SEMARNAP","Secretaría de Medio Ambiente, Recursos Naturales y Pesca"
"SRA","Secretaría de la Reforma Agraria"
"SRE","Secretaría de Relaciones Exteriores"
"Sectur","Secretaría de Turismo"
