En la Ciudad de México,Otro
Avenida de los Insurgentes Sur,Otro
Constitución Política de los Estados Unidos Mexicanos,Documento
Ley Federal de Telecomunicaciones y Radiodifusión,Ley
Instituto Federal de Telecomunicaciones,Organización
En la Sesión,Otro
Gabriel Oswaldo Contreras Saldívar,Otro
Adriana Sofía Labardini Inzunza,Otro
María Elena Estavillo Flores,Otro
Mario Germán Fromow Rangel,Otro
Adolfo Cuevas Teja,Otro
Javier Juárez Mojica,Otro
Arturo Robles Rovalo,Otro
Secretaría Técnica del Pleno,Organización
Juan José Crispín Borbolla,Otro
Secretario Técnico del Pleno,Persona
Víctor Manuel Rodríguez Hilario,Otro
Unidad de Política Regulatoria,Organización
Sostenes Diaz González,Otro
Director General de Regulación de Interconexión,Persona
Reventa de Servicios de Telecomunicaciones,Otro
Angelina Mejía Guerrero,Otro
Coordinadora General de Comunicación Social,Persona
Irving Arturo De Lira Salvatierra,Otro
Enrique Etzel Salinas Morales,Otro
Jrisy Esther Motis Espejel,Otro
José Guadalupe Rojas Ramírez,Otro
Paola Cicero Arenas,Otro
Emiliano Díaz Goti,Otro
Pleno del Instituto Federal de Telecomunicaciones,Organización
Agente Económico Preponderante,Otro
Convenio Marco de Interconexión,Otro
Teléfonos de México S.A.B. de C.V.,Organización
Teléfonos del Noroeste S.A. de C.V.,Organización
Radiomóvil Dipsa S.A. de C.V.,Organización
Things Global Summit,Otro
Annual Americas Spectrum Management Conference,Otro
Estados Unidos de América,Otro
Foro Internacional de Reguladores y la Conferencia Anual,Otro
Pleno el Orden del Día,Organización
Pleno del Instituto,Organización
Notifíquese a la Unidad de Política Regulatoria,Organización
Libro de Actas,Otro
Acuerdo P/IFT/240118/19,Documento
artículo 28 párrafos décimo quinto; décimo sexto; vigésimo fracciones I y VI; y vigésimo primero de la Constitución Política de los Estados Unidos Mexicanos,Ley
artículos 1; 4 fracción I; 7; 8; 12; 13 y 16 fracción VI del Estatuto Orgánico,Ley
artículo 45 cuarto párrafo de la Ley Federal de Telecomunicaciones y Radiodifusión,Ley
González,Lugar
Guadalupe,Lugar
Guerrero,Lugar
Juárez,Lugar
Salinas,Lugar
Salvatierra,Lugar
Ciudad de México,Lugar
México,Lugar
