RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LA_PROCEDENCIA_DE_LA_SOLICITUD_DE_PRÓRROGA_Y_OTORGA_UNA_CONCESIÓN_PARA_USAR resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_la_procedencia_de_la_solicitud_de_prórroga_y_otorga_una_concesión_para_usar NP00000 1
, , Fc 1
APROVECHAR_Y_EXPLOTAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_ASÍ_COMO_UNA_CONCESIÓN_ÚNICA aprovechar_y_explotar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_así_como_una_concesión_única NP00000 1
, , Fc 1
AMBAS_DE_USO_COMERCIAL_PARA_LA_PRESTACIÓN_DE_EL_SERVICIO_PÚBLICO_DE_RADIODIFUSIÓN_DE_TELEVISIÓN_A_FAVOR_DE_LUCIA_PÉREZ_MEDINA_VDA._DE_MONDRAGÓN_ANTECEDENTES_I. ambas_de_uso_comercial_para_la_prestación_de_el_servicio_público_de_radiodifusión_de_televisión_a_favor_de_lucia_pérez_medina_vda._de_mondragón_antecedentes_i. NP00000 1
- - Fg 1
Refrendo_de_la_Concesión refrendo_de_la_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
26_de_enero_del_2000 [??:26/1/2000:??.??:??] W 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
1 1 Z 1
° ° Fz 1
y y CC 0.999989
16 16 Z 1
y y CC 0.999989
demás demás DI0CP0 0.280093
relativos relativo NCMP000 0.338706
a a SP 0.998775
la el DA0FS0 0.98926
Ley_Federal_de_Radio ley_federal_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
( ( Fpa 1
en en SP 1
los el DA0MP0 0.992728
sucesivo sucesivo AQ0MS00 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFRTV lfrtv NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones_Y_Transportes secretaría_de_comunicaciones_y_transportes NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
SCT sct NP00000 1
” ” Frc 1
) ) Fpt 1
otorgó otorgar VMIS3S0 1
a_favor_de a_favor_de SP 1
Lucia_Pérez_Medina_Vda._de_Mondragón lucia_pérez_medina_vda._de_mondragón NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Concesionario concesionario AQ0MS00 0.511244
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
Refrendo_de_la_Concesión refrendo_de_la_concesión NP00000 1
para para SP 0.999834
continuar continuar VMN0000 1
usando usar VMG0000 1
comercialmente comercialmente RG 1
el el DA0MS0 1
canal canal NCMS000 1
2 2 Z 1
( ( Fpa 1
- - Fg 1
) ) Fpt 1
( ( Fpa 1
54-60 54-60 Z 1
MHz mhz NP00000 1
) ) Fpt 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
estación estación NCFS000 1
de de SP 0.999961
televisión televisión NCFS000 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHKG-TV xhkg-tv NP00000 1
, , Fc 1
en en SP 1
Tepic tepic NP00000 1
, , Fc 1
Nayarit nayarit NP00000 1
, , Fc 1
con con SP 1
vigencia vigencia NCFS000 1
de de SP 0.999961
10 10 Z 1
( ( Fpa 1
diez 10 Z 1
) ) Fpt 1
años año NCMP000 1
, , Fc 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
el el DA0MS0 1
día_3_de_julio_de_1999 [??:3/7/1999:??.??:??] W 1
y y CC 0.999989
vencimiento vencimiento NCMS000 1
el el DA0MS0 1
2_de_julio_de_2009 [??:2/7/2009:??.??:??] W 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Concesión concesión NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

II ii NP00000 0.47288
. . Fp 1
- - Fg 1
Solicitud_de_Refrendo solicitud_de_refrendo NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
el el DA0MS0 1
12_de_junio_de_2008 [??:12/6/2008:??.??:??] W 1
ante ante SP 0.999744
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
, , Fc 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
el el DA0MS0 1
refrendo refrendo NCMS000 0.966646
de de SP 0.999961
la el DA0FS0 0.98926
Concesión concesión NP00000 1
( ( Fpa 1
en en SP 1
la el DA0FS0 0.98926
sucesivo sucesivo AQ0MS00 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud solicitud NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

III iii NP00000 1
. . Fp 1
- - Fg 1
Autorización autorización NCFS000 0.668984
de de SP 0.999961
aumento aumento NCMS000 0.998188
de de SP 0.999961
potencia potencia NCFS000 0.98374
radiada radiar VMP00SF 1
aparente aparente AQ0CS00 0.976068
. . Fp 1

El el DA0MS0 1
14_de_febrero_de_2013 [??:14/2/2013:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
autorizó autorizar VMIS3S0 1
el el DA0MS0 1
aumento aumento NCMS000 0.998188
de de SP 0.999961
potencia potencia NCFS000 0.98374
radiada radiar VMP00SF 1
aparente aparente AQ0CS00 0.976068
a a SP 0.998775
36.37 36.37 Z 1
kW k_w NCFS000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
canal canal NCMS000 1
2 2 Z 1
( ( Fpa 1
- - Fg 1
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
de de SP 0.999961
televisión televisión NCFS000 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHKG-TV xhkg-tv NP00000 1
, , Fc 1
en en SP 1
Tepic tepic NP00000 1
, , Fc 1
Nay nay NP00000 1
. . Fp 1

IV iv NP00000 0.47288
. . Fp 1
- - Fg 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

