RESOLUCIÓN_POR_LA_QUE_EL_PLENO_DE_LA_COMISIÓN_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_AXTEL resolución_por_la_que_el_pleno_de_la_comisión_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_axtel NP00000 1
, , Fc 1
SABDECV sabdecv NP00000 1
, , Fc 1
TELÉFONOS_DE_MÉXICO teléfonos_de_méxico NP00000 1
, , Fc 1
SABDECV_Y_TELÉFONOS_DE_EL_NOROESTE sabdecv_y_teléfonos_de_el_noroeste NP00000 1
, , Fc 1
SADECV_ANTECEDENTES_I._Concesiones_de_Axtel_Sabdecv_El sadecv_antecedentes_i._concesiones_de_axtel_sabdecv_el NP00000 1
7_de_junio_de_1996 [??:7/6/1996:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones_Y_Transportes secretaría_de_comunicaciones_y_transportes NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
" " Fe 1
Secretaría secretaría NCFS000 0.979661
" " Fe 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Telefonía_Inalámbrica_de_el_Norte telefonía_inalámbrica_de_el_norte NP00000 1
, , Fc 1
S._A_de_C.V. s._a_de_c.v. NP00000 1
, , Fc 1
actualmente actualmente RG 1
Axtel_Sabdecv axtel_sabdecv NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
" " Fe 1
Axtel axtel NP00000 1
" " Fe 1
) ) Fpt 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
el el DA0MS0 1
servicio servicio NCMS000 1
público público AQ0MS00 0.409696
de de SP 0.999961
telefonía telefonía NCFS000 1
básica básico AQ0FS00 1
de de SP 0.999961
larga largo AQ0FS00 0.939252
distancia distancia NCFS000 0.992395
nacional nacional AQ0CS00 1
e y CC 0.987994
internacional internacional AQ0CS00 0.970532
. . Fp 1

Asimismo asimismo RG 1
el el DA0MS0 1
7_de_octubre_de_1998 [??:7/10/1998:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Axtel axtel NP00000 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
acceso acceso NCMS000 1
inalámbrico inalámbrico AQ0MS00 0.647811
fijo fijo AQ0MS00 0.986111
o o CC 0.999864
móvil móvil AQ0CS00 0.765152
en en SP 1
las el DA0FP0 0.988184
( ( Fpa 1
9 9 Z 1
) ) Fpt 1
nueve 9 Z 1
regiones región NCFP000 1
en en SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
dividió dividir VMIS3S0 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
" " Fe 1
Concesión_de_Axtel concesión_de_axtel NP00000 1
" " Fe 1
) ) Fpt 1
y y CC 0.999989
nueve 9 Z 1
( ( Fpa 1
9 9 Z 1
) ) Fpt 1
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
acceso acceso NCMS000 1
inalámbrico inalámbrico AQ0MS00 0.647811
fijo fijo AQ0MS00 0.986111
o o CC 0.999864
móvil móvil AQ0CS00 0.765152
, , Fc 1
para para SP 0.999834
cada cada DI0CS0 1
una uno PI0FS00 0.0420733
de de SP 0.999961
las el DA0FP0 0.988184
nueve 9 Z 1
( ( Fpa 1
9 9 Z 1
) ) Fpt 1
regiones región NCFP000 1
en en SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
dividió dividir VMIS3S0 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

Concesión_de_Teléfonos_de_México_Sabdecv_El concesión_de_teléfonos_de_méxico_sabdecv_el NP00000 1
10_de_marzo_de_1976 [??:10/3/1976:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Teléfonos_de_México_Sabdecv teléfonos_de_méxico_sabdecv NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
" " Fe 1
Telmex telmex NP00000 1
" " Fe 1
) ) Fpt 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
construir construir VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
de de SP 0.999961
servicio servicio NCMS000 1
telefónico telefónico AQ0MS00 1
público público AQ0MS00 0.409696
. . Fp 1

El el DA0MS0 1
10_de_diciembre_de_1990 [??:10/12/1990:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
la el DA0FS0 0.98926
" " Fe 1
Modificación modificación NCFS000 0.668984
a a SP 1
el el DA0MS0 1
Título_de_Concesión_de_Teléfonos_de_México título_de_concesión_de_teléfonos_de_méxico NP00000 1
, , Fc 1
S.A._de_C._V. s.a._de_c._v. NP00000 1
" " Fe 1
, , Fc 1
para para SP 0.999834
construir construir VMN0000 1
, , Fc 1
instalar instalar VMN0000 1
, , Fc 1
mantener mantener VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
telefónica telefónico AQ0FS00 1
por por SP 1
un uno DI0MS0 0.99698
periodo periodo NCMS000 1
de de SP 0.999961
cincuenta 50 Z 1
( ( Fpa 1
50 50 Z 1
) ) Fpt 1
años año NCMP000 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
el el DA0MS0 1
10_de_marzo_de_1976 [??:10/3/1976:??.??:??] W 1
, , Fc 1
con con SP 1
