id	article	law_id
1309	6	1426
1310	7	1426
1311	27	1426
1312	28	1426
1313	73	1426
1314	78	1426
1315	94	1426
1316	105	1426
1317	6	1456
1318	97	1452
1319	61	1460
1320	86	1459
1321	87	1459
1322	112	1430
1323	28	1426
1324	7	1430
1325	16	1430
1326	45	1430
1327	1	1433
1328	7	1433
1329	8	1433
1330	12	1433
1331	6	1426
1332	7	1426
1333	27	1426
1334	28	1426
1335	73	1426
1336	78	1426
1337	94	1426
1338	105	1426
1339	97	1452
1340	112	1430
1341	28	1426
1342	7	1430
1343	16	1430
1344	45	1430
1345	1	1433
1346	7	1433
1347	8	1433
1348	12	1433
1349	21	1529
1350	16	1528
1351	28	1426
1352	7	1430
1353	16	1430
1354	45	1430
1355	1	1433
1356	7	1433
1357	8	1433
1358	12	1433
1359	6	1426
1360	7	1426
1361	27	1426
1362	28	1426
1363	73	1426
1364	78	1426
1365	94	1426
1366	105	1426
1367	97	1452
1368	6	1456
1369	97	1452
1370	28	1426
1371	7	1430
1372	16	1430
1373	45	1430
1374	1	1433
1375	7	1433
1376	8	1433
1377	12	1433
1378	6	1426
1379	7	1426
1380	27	1426
1381	28	1426
1382	73	1426
1383	78	1426
1384	94	1426
1385	105	1426
1386	6	1426
1387	7	1426
1388	27	1426
1389	28	1426
1390	73	1426
1391	78	1426
1392	94	1426
1393	105	1426
1394	16	1583
1395	3	1640
1396	6	1640
1397	7	1640
1398	8	1640
1399	13	1640
1400	16	1640
1401	17	1640
1402	6	1426
1403	7	1426
1404	27	1426
1405	28	1426
1406	73	1426
1407	78	1426
1408	94	1426
1409	105	1426
1410	28	1426
1411	7	1430
1412	16	1430
1413	45	1430
1414	1	1433
1415	7	1433
1416	8	1433
1417	12	1433
1418	6	1426
1419	7	1426
1420	27	1426
1421	28	1426
1422	73	1426
1423	78	1426
1424	94	1426
1425	105	1426
1426	6	1426
1427	7	1426
1428	27	1426
1429	28	1426
1430	73	1426
1431	78	1426
1432	94	1426
1433	105	1426
1434	28	1426
1435	7	1430
1436	16	1430
1437	45	1430
1438	1	1433
1439	7	1433
1440	8	1433
1441	12	1433
1442	6	1426
1443	7	1426
1444	27	1426
1445	28	1426
1446	73	1426
1447	78	1426
1448	94	1426
1449	105	1426
1450	66	1430
1451	112	1430
1452	28	1426
1453	7	1430
1454	16	1430
1455	45	1430
1456	1	1433
1457	7	1433
1458	8	1433
1459	12	1433
1460	6	1426
1461	7	1426
1462	27	1426
1463	28	1426
1464	73	1426
1465	78	1426
1466	94	1426
1467	105	1426
1468	97	1452
1469	112	1430
1470	28	1426
1471	7	1430
1472	16	1430
1473	45	1430
1474	1	1433
