RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_MEGA_CABLE resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_mega_cable NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Y_LA_EMPRESA_PEGASO_PCS y_la_empresa_pegaso_pcs NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
APLICABLES_DE_EL aplicables_de_el NP00000 1
07_DE_MARZO [??:7/3/??:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2018 [??:31/12/2018:??.??:??] W 1
. . Fp 1

ANTECEDENTES_Mega_Cable antecedentes_mega_cable NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Mega_Cable mega_cable NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto_Federal_de_Telecomunicaciones registro_público_de_concesiones_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Pegaso_PCS pegaso_pcs NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto registro_público_de_concesiones_de_el_instituto NP00000 1
. . Fp 1

Cabe caber VMIP3S0 0.975904
señalar señalar VMN0000 1
que que CS 0.449861
el el DA0MS0 1
11_de_enero_de_2017 [??:11/1/2017:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
de de SP 0.999961
Pegaso_PCS pegaso_pcs NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
notificó notificar VMIS3S0 1
la el DA0FS0 0.98926
fusión fusión NCFS000 1
por por SP 1
absorción absorción NCFS000 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
31_de_diciembre_de_2016 [??:31/12/2016:??.??:??] W 1
, , Fc 1
entre entre SP 0.980341
Pegaso_PCS pegaso_pcs NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Pegaso_PCS pegaso_pcs NP00000 1
” ” Frc 1
) ) Fpt 1
en en SP 1
su su DP3CSN 1
carácter carácter NCMS000 1
de de SP 0.999961
fusionante fusionante AQ0CS00 1
, , Fc 1
y y CC 0.999989
Grupo_de_Telecomunicaciones_Mexicanas grupo_de_telecomunicaciones_mexicanas NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
GTM gtm NP00000 1
” ” Frc 1
) ) Fpt 1
en en SP 1
su su DP3CSN 1
carácter carácter NCMS000 1
de de SP 0.999961
fusionada fusionar VMP00SF 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CTEL/069/2017 IFT/223/UCS/DG-CTEL/069/2017 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_enero_de_2017 [??:12/1/2017:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios_de_el_Instituto servicios_de_el_instituto NP00000 1
se se P00CN00 0.494509
dio dar VMIS3S0 1
por por SP 1
notificada notificar VMP00SF 1
de de SP 1
el el DA0MS0 1
aviso aviso NCMS000 0.991803
de de SP 0.999961
fusión fusión NCFS000 1
y y CC 0.999989
solicitó solicitar VMIS3S0 1
se se P00CN00 0.494509
inscribiera inscribir VMSI3S0 0.550001
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones registro_público_de_concesiones NP00000 1
la el DA0FS0 0.98926
cesión cesión NCFS000 1
de de SP 0.999961
derechos derecho NCMP000 0.996795
y y CC 0.999989
obligaciones obligación NCFP000 1
de de SP 0.999961
GTM gtm NP00000 1
a_favor_de a_favor_de SP 1
Pegaso_PCS pegaso_pcs NP00000 1
. . Fp 1

Metodología metodología NP00000 0.331016
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
. . Fp 1

El el DA0MS0 1
18_de_diciembre_de_2014 [??:18/12/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
emite emitir VMIP3S0 0.989238
la el DA0FS0 0.98926
