RESOLUCIÓN_QUE_EMITE_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_A_EFECTO_DE_DAR_CUMPLIMIENTO_A_LA_EJECUTORIA_DE_LA_ACCIÓN_DE_AMPARO_NÚMERO resolución_que_emite_el_pleno_de_el_instituto_federal_de_telecomunicaciones_a_efecto_de_dar_cumplimiento_a_la_ejecutoria_de_la_acción_de_amparo_número NP00000 1
79/2016 79/2016 Z 1
RADICADO_ANTE_EL_JUZGADO_SEGUNDO_DE_DISTRITO_EN_MATERIA_ADMINISTRATIVA_ESPECIALIZADO_EN_COMPETENCIA_ECONÓMICA radicado_ante_el_juzgado_segundo_de_distrito_en_materia_administrativa_especializado_en_competencia_económica NP00000 1
, , Fc 1
RADIODIFUSIÓN_Y_TELECOMUNICACIONES_CON_RESIDENCIA_EN_LA_CIUDAD_DE_MÉXICO_Y_JURISDICCIÓN_EN_TODA_LA_REPÚBLICA radiodifusión_y_telecomunicaciones_con_residencia_en_la_ciudad_de_méxico_y_jurisdicción_en_toda_la_república NP00000 1
. . Fp 1

VISTA ver VMP00SF 0.143192
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
11_de_diciembre_de_2017 [??:11/12/2017:??.??:??] W 1
, , Fc 1
dictada dictar VMP00SF 1
por por SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado_de_Circuito segundo_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
” ” Frc 1
) ) Fpt 1
en en SP 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
R.A. r.a. NP00000 1
85/2017 85/2017 Z 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
confirma confirmar VMIP3S0 0.986111
