RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_MODIFICA_LA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_modifica_la NP00000 1
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_LAS_EMPRESAS_TELÉFONOS_DE_MÉXICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_las_empresas_teléfonos_de_méxico NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
TELEFÓNOS_DE_EL_NOROESTE telefónos_de_el_noroeste NP00000 1
, , Fc 1
S.A._DE_C.V._Y_LA_EMPRESA_MAXCOM_TELECOMUNICACIONES s.a._de_c.v._y_la_empresa_maxcom_telecomunicaciones NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
APLICABLES_DE_EL aplicables_de_el NP00000 1
1_DE_ENERO [??:1/1/??:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2015 [??:31/12/2015:??.??:??] W 1
” ” Frc 1
EMITIDA_MEDIANTE_ACUERDO emitida_mediante_acuerdo NP00000 1
P/IFT/120815/351 P/IFT/120815/351 Z 1
, , Fc 1
EN_CUMPLIMIENTO_A_LA_EJECUTORIA_DE_FECHA en_cumplimiento_a_la_ejecutoria_de_fecha NP00000 1
18_DE_ENERO_DE_2018 [??:18/1/2018:??.??:??] W 1
EMITIDA_POR_EL_SEGUNDO_TRIBUNAL_COLEGIADO_EN_MATERIA_ADMINISTRATIVA_ESPECIALIZADO_EN_COMPETENCIA_ECONÓMICA emitida_por_el_segundo_tribunal_colegiado_en_materia_administrativa_especializado_en_competencia_económica NP00000 1
, , Fc 1
