RESOLUCIÓN_QUE_EMITE_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_A_EFECTO_DE_DAR_CUMPLIMIENTO_A_LA_EJECUTORIA_DICTADA_EN_EL_AMPARO resolución_que_emite_el_pleno_de_el_instituto_federal_de_telecomunicaciones_a_efecto_de_dar_cumplimiento_a_la_ejecutoria_dictada_en_el_amparo NP00000 1
29/2016 29/2016 Z 1
POR_EL_PRIMER_TRIBUNAL_COLEGIADO_DE_CIRCUITO_EN_MATERIA_ADMINISTRATIVA por_el_primer_tribunal_colegiado_de_circuito_en_materia_administrativa NP00000 1
, , Fc 1
ESPECIALIZADO_EN_COMPETENCIA_ECONÓMICA especializado_en_competencia_económica NP00000 1
, , Fc 1
RADIODIFUSIÓN_Y_TELECOMUNICACIONES radiodifusión_y_telecomunicaciones NP00000 1
, , Fc 1
CON_RESIDENCIA_EN_LA_CIUDAD_DE_MÉXICO_Y_JURISDICCIÓN_EN_TODA_LA_REPÚBLICA_VISTA con_residencia_en_la_ciudad_de_méxico_y_jurisdicción_en_toda_la_república_vista NP00000 1
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
24_de_noviembre_de_2016 [??:24/11/2016:??.??:??] W 1
dictada dictar VMP00SF 1
por por SP 1
el el DA0MS0 1
Primer_Tribunal_Colegiado_de_Circuito primer_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
( ( Fpa 1
en en SP 1
adelante adelante RG 0.982979
“ “ Fra 1
Tribunal_Colegiado tribunal_colegiado NP00000 1
” ” Frc 1
) ) Fpt 1
en en SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
de de SP 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
R.A. r.a. NP00000 1
123/2016 123/2016 Z 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
confirma confirmar VMIP3S0 0.986111
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
definitiva definitivo AQ0FS00 1
engrosada engrosar VMP00SF 1
el el DA0MS0 1
25_de_agosto_de_2016 [??:25/8/2016:??.??:??] W 1
en en SP 1
los el DA0MP0 0.992728
autos auto NCMP000 1
de de SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
29/2016 29/2016 Z 1
promovido promover VMP00SM 1
por por SP 1
Martha_Morales_Reséndiz martha_morales_reséndiz NP00000 1
, , Fc 1
radicado radicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Juzgado_Primero_de_Distrito juzgado_primero_de_distrito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
( ( Fpa 1
“ “ Fra 1
Juzgado_Primero juzgado_primero NP00000 1
” ” Frc 1
) ) Fpt 1
a_efecto_de a_efecto_de SP 1
CONCEDER_EL_AMPARO conceder_el_amparo NP00000 1
respecto_de respecto_de SP 1
el el DA0MS0 1
acto acto NCMS000 1
reclamado reclamar VMP00SM 1
consistente consistente AQ0CS00 1
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/D01/STP/1344/2014 IFT/D01/STP/1344/2014 Z 1
de de SP 0.999961
12_de_agosto_de_2014 [??:12/8/2014:??.??:??] W 1
, , Fc 1
derivada derivar VMP00SF 0.623747
de de SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
número número NCMS000 1
P/IFT/180614/197 P/IFT/180614/197 Z 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
dio dar VMIS3S0 1
contestación contestación NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
ciudad ciudad NCFS000 1
de de SP 0.999961
Tampico tampico NP00000 1
, , Fc 1
Tamaulipas tamaulipas NP00000 1
; ; Fx 1
y y CC 0.999989
tomando tomar VMG0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
: : Fd 1
ANTECEDENTES_I._Solicitud_de_Permiso antecedentes_i._solicitud_de_permiso NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
el el DA0MS0 1
6_de_diciembre_de_2012 [??:6/12/2012:??.??:??] W 1
, , Fc 1
Martha_Morales_Reséndiz martha_morales_reséndiz NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
solicitante solicitante NCCS000 0.97619
” ” Frc 1
) ) Fpt 1
formuló formular VMIS3S0 1
ante ante SP 0.999744
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
COFETEL cofetel NP00000 1
” ” Frc 1
) ) Fpt 1
una uno DI0FS0 0.951973
solicitud solicitud NCFS000 1
de de SP 0.999961
permiso permiso NCMS000 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
con con SP 1
fines fin NCMP000 0.994186
culturales cultural AQ0CP00 1
( ( Fpa 1
“ “ Fra 1
Solicitud_de_Permiso solicitud_de_permiso NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Tampico tampico NP00000 1
, , Fc 1
Tamaulipas tamaulipas NP00000 1
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

Información_Complementaria información_complementaria NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
escritos escrito NCMP000 0.526214
recibidos recibir VMP00PM 1
en en SP 1
las el DA0FP0 0.988184
oficialías oficialía NCFP000 1
de de SP 0.999961
