RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_A_EL_C._JESÚS_PIÑEIRO_RAMÍREZ resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_a_el_c._jesús_piñeiro_ramírez NP00000 1
, , Fc 1
LA_TRANSICIÓN_DE_SU_TÍTULO_DE_CONCESIÓN_PARA_INSTALAR la_transición_de_su_título_de_concesión_para_instalar NP00000 1
, , Fc 1
OPERAR_Y_EXPLOTAR_UNA_RED_PÚBLICA_DE_TELECOMUNICACIONES operar_y_explotar_una_red_pública_de_telecomunicaciones NP00000 1
, , Fc 1
A_EL_RÉGIMEN_DE_CONCESIÓN_ÚNICA_PARA_USO_COMERCIAL a_el_régimen_de_concesión_única_para_uso_comercial NP00000 1
. . Fp 1

ANTECEDENTES_Otorgamiento_de_la_Concesión antecedentes_otorgamiento_de_la_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
8_de_octubre_de_2007 [??:8/10/2007:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
a_favor_de a_favor_de SP 1
el el DA0MS0 1
C._Jesús_Piñeiro_Ramírez c._jesús_piñeiro_ramírez NP00000 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
, , Fc 1
con con SP 1
cobertura cobertura NCFS000 1
en en SP 1
Tezontepec tezontepec NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Municipio_de_Villa_de_Tezontepec municipio_de_villa_de_tezontepec NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Hidalgo estado_de_hidalgo NP00000 1
; ; Fx 1
Temascalapa temascalapa NP00000 1
e y CC 0.987994
Ixtlahuaca_de_Cuauhtémoc ixtlahuaca_de_cuauhtémoc NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Municipio_de_Temascalapa municipio_de_temascalapa NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
