ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_EXPIDE_LOS_LINEAMIENTOS_DE_AUSTERIDAD_Y_AJUSTE_PRESUPUESTARIO_PARA_EL_EJERCICIO_FISCAL acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_expide_los_lineamientos_de_austeridad_y_ajuste_presupuestario_para_el_ejercicio_fiscal NP00000 1
2016 2016 Z 1
. . Fp 1

En en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
16 16 Z 1
, , Fc 1
penúltimo penúltimo AO0MS00 0.607399
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
Presupuesto_de_Egresos_de_la_Federación_para_el_Ejercicio_Fiscal presupuesto_de_egresos_de_la_federación_para_el_ejercicio_fiscal NP00000 1
2016 2016 Z 1
, , Fc 1
y y CC 0.999989
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
28 28 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
décimo décimo NCMS000 0.392601
quinto 5 AO0MS00 0.73057
y y CC 0.999989
vigésimo 20 AO0MS00 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
II ii NP00000 1
y y CC 0.999989
134 134 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
; ; Fx 1
1o 1o Z 1
. . Fp 1
, , Fc 1
5o 5o Z 1
. . Fp 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
incisos inciso AQ0MP00 0.66108
b b NCFS000 1
) ) Fpt 1
y y CC 0.999989
e e NCFS000 0.0120062
) ) Fpt 1
, , Fc 1
21 21 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
y y CC 0.999989
61 61 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
primero 1 AO0MS00 0.686916
y y CC 0.999989
segundo 2 AO0MS00 0.901147
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Presupuesto ley_federal_de_presupuesto NP00000 1
y y CC 0.999989
Responsabilidad_Hacendaria responsabilidad_hacendaria NP00000 1
; ; Fx 1
15 15 Z 1
, , Fc 1
fracción fracción NCFS000 1
LXIII lxiii NP00000 1
, , Fc 1
16 16 Z 1
, , Fc 1
20 20 Z 1
, , Fc 1
fracción fracción NCFS000 1
XIV xiv NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
1o 1o Z 1
. . Fp 1
y y CC 0.999989
6o 6o Z 1
. . Fp 1
, , Fc 1
fracciones fracción NCFP000 0.998103
XXV xxv NP00000 1
y y CC 0.999989
XXXVII xxxvii NP00000 1
; ; Fx 1
19 19 Z 1
, , Fc 1
fracción fracción NCFS000 1
VI vi NP00000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
y y CC 0.999989
54 54 Z 1
, , Fc 1
tercer 3 AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
las el DA0FP0 0.988184
Normas normas NP00000 1
en en SP 1
materia materia NCFS000 1
Presupuestaria_de_el_Instituto_Federal_de_Telecomunicaciones presupuestaria_de_el_instituto_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
CONSIDERANDO_Que_el_Instituto_Federal_de_Telecomunicaciones considerando_que_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
cuyo cuyo PR0MS00 1
objeto objeto NCMS000 0.996183
es ser VSIP3S0 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
las el DA0FP0 0.988184
leyes ley NCFP000 1
, , Fc 1
además_de además_de SP 1
ser ser VSN0000 0.959637
autoridad autoridad NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
en en SP 1
dichos decir VMP00PM 0.97619
sectores sector NCMP000 1
; ; Fx 1
Que_la_Ley_Federal_de_Presupuesto que_la_ley_federal_de_presupuesto NP00000 1
y y CC 0.999989
Responsabilidad_Hacendaria responsabilidad_hacendaria NP00000 1
, , Fc 1
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
1o 1o Z 1
. . Fp 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
los el DA0MP0 0.992728
sujetos sujeto NCMP000 0.488706
obligados obligar VMP00PM 0.991071
deberán deber VMIF3P0 1
observar observar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
administración administración NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
recursos recurso NCMP000 1
públicos público AQ0MP00 0.974537
federales federal AQ0CP00 0.97619
se se P00CN00 0.494509
realice realizar VMSP3S0 0.534863
con con SP 1
base base NCCS000 0.963722
en en SP 1
criterios criterio NCMP000 1
de de SP 0.999961
legalidad legalidad NCFS000 1
, , Fc 1
honestidad honestidad NCFS000 1
, , Fc 1
eficiencia eficiencia NCFS000 1
, , Fc 1
eficacia eficacia NCFS000 1
, , Fc 1
economía economía NCFS000 1
, , Fc 1
racionalidad racionalidad NCFS000 1
, , Fc 1
austeridad austeridad NCFS000 1
, , Fc 1
transparencia transparencia NCFS000 1
, , Fc 1
control control NCMS000 1
, , Fc 1
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
y y CC 0.999989
equidad equidad NCFS000 1
de de SP 0.999961
género género NCMS000 1
; ; Fx 1
Que_la_Cámara_de_Diputados_de_el_H._Congreso_de_la_Unión que_la_cámara_de_diputados_de_el_h._congreso_de_la_unión NP00000 1
aprobó aprobar VMIS3S0 1
el el DA0MS0 1
Presupuesto_de_Egresos_de_la_Federación_para_el_Ejercicio_Fiscal presupuesto_de_egresos_de_la_federación_para_el_ejercicio_fiscal NP00000 1
2016 2016 Z 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
27_de_noviembre_de_2015 [??:27/11/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
16 16 Z 1
, , Fc 1
penúltimo penúltimo AO0MS00 0.607399
párrafo párrafo NCMS000 1
que que CS 0.449861
los el DA0MP0 0.992728
entes ente NCMP000 1
autónomos autónomo AQ0MP00 0.661294
deberán deber VMIF3P0 1
implantar implantar VMN0000 1
medidas medida NCFP000 0.999067
equivalentes equivalente AQ0CP00 0.661294
a a SP 0.998775
las el DA0FP0 0.988184
aplicables aplicable AQ0CP00 1
en en SP 1
las el DA0FP0 0.988184
dependencias dependencia NCFP000 1
y y CC 0.999989
entidades entidad NCFP000 1
, , Fc 1
respecto_a respecto_a SP 1
la el DA0FS0 0.98926
reducción reducción NCFS000 1
de de SP 1
el el DA0MS0 1
gasto gasto NCMS000 0.995283
destinado destinar VMP00SM 1
