RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
EN_CUMPLIMIENTO_A_LA_EJECUTORIA_EMITIDA_POR_SEGUNDO_TRIBUNAL_COLEGIADO_EN_MATERIA_ADMINISTRATIVA_ESPECIALIZADO_EN_COMPETENCIA_ECONÓMICA en_cumplimiento_a_la_ejecutoria_emitida_por_segundo_tribunal_colegiado_en_materia_administrativa_especializado_en_competencia_económica NP00000 1
, , Fc 1
RADIODIFUSIÓN_Y_TELECOMUNICACIONES_CON_RESIDENCIA_EN_LA_CIUDAD_DE_MÉXICO_Y_JURISDICCIÓN_EN_TODA_LA_REPÚBLICA_CORRESPONDIENTE_A_EL_AMPARO_EN_REVISIÓN radiodifusión_y_telecomunicaciones_con_residencia_en_la_ciudad_de_méxico_y_jurisdicción_en_toda_la_república_correspondiente_a_el_amparo_en_revisión NP00000 1
17/2016 17/2016 Z 1
, , Fc 1
DEJA_INSUBSISTENTE_EL_ACUERDO deja_insubsistente_el_acuerdo NP00000 1
P/IFT/120815/361 P/IFT/120815/361 Z 1
Y_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_RADIOMÓVIL_DIPSA y_determina_las_condiciones_de_interconexión_no_convenidas_entre_radiomóvil_dipsa NP00000 1
, , Fc 1
S.A._DE_C.V._Y_AXTEL s.a._de_c.v._y_axtel NP00000 1
, , Fc 1
S.A.B._DE_C.V._APLICABLES_DE_EL s.a.b._de_c.v._aplicables_de_el NP00000 1
1_DE_ENERO_DE_2015 [??:1/1/2015:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2016 [??:31/12/2016:??.??:??] W 1
. . Fp 1

ANTECEDENTES_Radiomóvil_Dipsa antecedentes_radiomóvil_dipsa NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
