RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_EN_CUMPLIMIENTO_A_LA_EJECUTORIA_DE_EL_AMPARO_EN_REVISIÓN_R.A. resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_en_cumplimiento_a_la_ejecutoria_de_el_amparo_en_revisión_r.a. NP00000 1
166/2015 166/2015 Z 1
DEJA_SIN_EFECTOS_LA_RESOLUCIÓN_APROBADA_MEDIANTE_ACUERDO deja_sin_efectos_la_resolución_aprobada_mediante_acuerdo NP00000 1
P/IFT/EXT/280115/39 P/IFT/EXT/280115/39 Z 1
. . Fp 1

ANTECEDENTES_Concesión_de_Talktel antecedentes_concesión_de_talktel NP00000 1
, , Fc 1
S.A._de_C.V._El s.a._de_c.v._el NP00000 1
24_de_noviembre_de_2009 [??:24/11/2009:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Talktel talktel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
TalkteI talktei NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Concesiones_de_Radiomóvil_Dipsa concesiones_de_radiomóvil_dipsa NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Telcel telcel NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

El el DA0MS0 1
7_de_octubre_de_1998 [??:7/10/1998:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Telcel telcel NP00000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
acceso acceso NCMS000 1
inalámbrico inalámbrico AQ0MS00 0.647811
fijo fijo AQ0MS00 0.986111
o o CC 0.999864
móvil móvil AQ0CS00 0.765152
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Concesión_de_Telcel concesión_de_telcel NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

El el DA0MS0 1
7_de_octubre_de_1998 [??:7/10/1998:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Telcel telcel NP00000 1
nueve 9 Z 1
( ( Fpa 1
9 9 Z 1
) ) Fpt 1
concesiones concesión NCFP000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
acceso acceso NCMS000 1
inalámbrico inalámbrico AQ0MS00 0.647811
fijo fijo AQ0MS00 0.986111
o o CC 0.999864
móvil móvil AQ0CS00 0.765152
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
1.9 1.9 Z 1
GHz ghz NP00000 1
en en SP 1
las el DA0FP0 0.988184
nueve 9 Z 1
( ( Fpa 1
9 9 Z 1
) ) Fpt 1
regiones región NCFP000 1
en en SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
dividió dividir VMIS3S0 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
. . Fp 1

El el DA0MS0 1
13_de_octubre_de_2000 [??:13/10/2000:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Telcel telcel NP00000 1
una uno DI0FS0 0.951973
prórroga prórroga NCFS000 1
y y CC 0.999989
modificación modificación NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiotelefonía radiotelefonía NCFS000 1
móvil móvil AQ0CS00 0.765152
con con SP 1
tecnología tecnología NCFS000 1
celular celular AQ0CS00 1
y y CC 0.999989
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiotelefonía radiotelefonía NCFS000 1
móvil móvil AQ0CS00 0.765152
a_bordo a_bordo RG 1
de de SP 0.999961
vehículos vehículo NCMP000 1
en en SP 1
