RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
93.1 93.1 Z 1
MHz_DE_MORELIA mhz_de_morelia NP00000 1
, , Fc 1
MICHOACÁN_ANTECEDENTES_Refrendo_de_la_Concesión michoacán_antecedentes_refrendo_de_la_concesión NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
19_de_octubre_de_2011 [??:19/10/2011:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Mensaje_Radiofónico mensaje_radiofónico NP00000 1
, , Fc 1
S.A. s.a. NP00000 1
, , Fc 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
refrendo refrendo NCMS000 0.966646
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
continuar continuar VMN0000 1
usando usar VMG0000 1
con con SP 1
fines fin NCMP000 0.994186
comerciales comercial AQ0CP00 0.99569
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
1140 1140 Z 1
kHz khz NCFS000 0.515128
para para SP 0.999834
la el DA0FS0 0.98926
estación estación NCFS000 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XELIA-AM xelia-am NP00000 1
, , Fc 1
cuya cuyo PR0FS00 1
población población NCFS000 1
principal principal AQ0CS00 0.984551
a a SP 0.998775
servir servir VMN0000 1
es ser VSIP3S0 1
Morelia morelia NP00000 1
, , Fc 1
Michoacán michoacán NP00000 1
, , Fc 1
con con SP 1
vigencia vigencia NCFS000 1
hasta hasta SP 0.922749
el el DA0MS0 1
23_de_febrero_de_2020 [??:23/2/2020:??.??:??] W 1
. . Fp 1

Autorización autorización NCFS000 0.668984
de de SP 0.999961
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 0.999961
AM am NP00000 1
a a SP 0.998775
FM fm NP00000 1
. . Fp 1

Con con SP 1
número número NCMS000 1
de de SP 0.999961
oficio oficio NCMS000 0.986111
CFT/D01/STP/591/12 CFT/D01/STP/591/12 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
16_de_abril_de_2012 [??:16/4/2012:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Cofetel cofetel NP00000 1
autorizó autorizar VMIS3S0 1
a a SP 0.998775
Mensaje_Radiofónico mensaje_radiofónico NP00000 1
, , Fc 1
S.A. s.a. NP00000 1
, , Fc 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 0.999961
AM am NP00000 1
a a SP 0.998775
FM fm NP00000 1
, , Fc 1
asignando asignar VMG0000 1
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
103.3 103.3 Z 1
MHz mhz NP00000 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHLIA-FM xhlia-fm NP00000 1
, , Fc 1
cuya cuyo PR0FS00 1
población población NCFS000 1
principal principal AQ0CS00 0.984551
a a SP 0.998775
servir servir VMN0000 1
es ser VSIP3S0 1
Morelia morelia NP00000 1
, , Fc 1
Michoacán michoacán NP00000 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
por por SP 1
