RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_EL_CAMBIO_DE_BANDA_DE_FRECUENCIAS resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_el_cambio_de_banda_de_frecuencias NP00000 1
614-620 614-620 Z 1
MHz_POR_LA_BANDA_DE_FRECUENCIAS mhz_por_la_banda_de_frecuencias NP00000 1
542-548 542-548 Z 1
MHz mhz NP00000 1
( ( Fpa 1
CANAL canal NCMS000 0.52712
38 38 Z 1
POR_EL_CANAL por_el_canal NP00000 1
26 26 Z 1
) ) Fpt 1
PARA_USO_COMERCIAL_OTORGADA_A_FAVOR_DE_TELEVIMEX para_uso_comercial_otorgada_a_favor_de_televimex NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
PARA_LA_ESTACIÓN_CON_DISTINTIVO_DE_LLAMADA_XHNON-TDT_ANTECEDENTES_Refrendo_de_Concesión para_la_estación_con_distintivo_de_llamada_xhnon-tdt_antecedentes_refrendo_de_concesión NP00000 1
. . Fp 1
- - Fg 1
El el DA0MS0 1
21_de_septiembre_de_2004 [??:21/9/2004:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
otorgó otorgar VMIS3S0 1
a a SP 0.998775
Televimex televimex NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Concesionario concesionario AQ0MS00 0.511244
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
refrendo refrendo NCMS000 0.966646
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
continuar continuar VMN0000 1
usando usar VMG0000 1
con con SP 1
fines fin NCMP000 0.994186
comerciales comercial AQ0CP00 0.99569
el el DA0MS0 1
canal canal NCMS000 1
38 38 Z 1
( ( Fpa 1
+ + Fz 1
) ) Fpt 1
( ( Fpa 1
614 614 Z 1
– – Fz 1
620 620 Z 1
MHz mhz NP00000 1
) ) Fpt 1
de de SP 0.999961
televisión televisión NCFS000 1
en en SP 1
Nogales nogales NP00000 1
, , Fc 1
