RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_PRORROGA_LA_VIGENCIA_DE resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_prorroga_la_vigencia_de NP00000 1
CUATRO 4 Z 1
CONCESIONES_PARA_OPERAR_Y_EXPLOTAR_COMERCIALMENTE_UNA_FRECUENCIA_DE_RADIODIFUSIÓN concesiones_para_operar_y_explotar_comercialmente_una_frecuencia_de_radiodifusión NP00000 1
, , Fc 1
PARA_LO_CUAL_OTORGA_RESPECTIVAMENTE_UNA_CONCESIÓN_PARA_USAR para_lo_cual_otorga_respectivamente_una_concesión_para_usar NP00000 1
, , Fc 1
APROVECHAR_Y_EXPLOTAR_BANDAS_DE_FRECUENCIAS_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_LA_PRESTACIÓN_DE_EL_SERVICIO_PÚBLICO_DE_RADIODIFUSIÓN_SONORA_EN_FRECUENCIA_MODULADA_Y_UNA_CONCESIÓN_ÚNICA aprovechar_y_explotar_bandas_de_frecuencias_de_el_espectro_radioeléctrico_para_la_prestación_de_el_servicio_público_de_radiodifusión_sonora_en_frecuencia_modulada_y_una_concesión_única NP00000 1
, , Fc 1
AMBAS_PARA_USO_COMERCIAL_ANTECEDENTES_Refrendo_de_las_Concesiones ambas_para_uso_comercial_antecedentes_refrendo_de_las_concesiones NP00000 1
. . Fp 1

La el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
SCT sct NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Ley_Federal_de_Radio ley_federal_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
LFRTV lfrtv NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
en_favor_de en_favor_de SP 1
diversas diverso DI0FP0 0.805344
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
y y CC 0.999989
morales moral AQ0CP00 0.640816
( ( Fpa 1
los el DA0MP0 0.992728
“ “ Fra 1
Concesionarios concesionario NCMP000 0.627962
” ” Frc 1
) ) Fpt 1
, , Fc 1
los el DA0MP0 0.992728
respectivos respectivo AQ0MP00 1
Títulos_de_Refrendo_de_las_Concesiones títulos_de_refrendo_de_las_concesiones NP00000 1
para para SP 0.999834
continuar continuar VMN0000 1
usando usar VMG0000 1
comercialmente comercialmente RG 1
una uno DI0FS0 0.951973
frecuencia frecuencia NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
a_través_de a_través_de SP 1
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
, , Fc 1
población población NCFS000 1
principal principal AQ0CS00 0.984551
a a SP 0.998775
servir servir VMN0000 1
y y CC 0.999989
vigencia vigencia NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
indican indicar VMIP3P0 1
en en SP 1
el el DA0MS0 1
Anexo anexo NP00000 1
1 1 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
( ( Fpa 1
las el DA0FP0 0.988184
“ “ Fra 1
Concesiones concesión NCFP000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitudes_de_Refrendo solicitudes_de_refrendo NP00000 1
o o CC 0.999864
