RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_UN_TÍTULO_DE_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIAS_DE_EL_ESPECTRO_RADIOELÉCTRICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_un_título_de_concesión_para_usar_y_aprovechar_bandas_de_frecuencias_de_el_espectro_radioeléctrico NP00000 1
, , Fc 1
ASÍ_COMO_UN_TÍTULO_DE_CONCESIÓN_ÚNICA así_como_un_título_de_concesión_única NP00000 1
, , Fc 1
AMBOS_PARA_USO_PÚBLICO ambos_para_uso_público NP00000 1
, , Fc 1
A_FAVOR_DE_SERVICIOS_DE_SALUD_DE_SAN_LUIS_POTOSÍ a_favor_de_servicios_de_salud_de_san_luis_potosí NP00000 1
, , Fc 1
ORGANISMO_DESCENTRALIZADO_DE_LA_ADMINISTRACIÓN_PÚBLICA_ESTATAL_DE_SAN_LUIS_POTOSÍ organismo_descentralizado_de_la_administración_pública_estatal_de_san_luis_potosí NP00000 1
. . Fp 1

ANTECEDENTES_Solicitud_de_Asignación antecedentes_solicitud_de_asignación NP00000 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
19650 19650 Z 1
presentado presentar VMP00SM 1
ante ante SP 0.999744
el el DA0MS0 1
Centro_SCT_San_Luis_Potosí centro_sct_san_luis_potosí NP00000 1
el el DA0MS0 1
5_de_septiembre_de_2011 [??:5/9/2011:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
entonces entonces RG 0.998203
Director_General_de_Servicios_de_Salud_de_San_Luis_Potosí director_general_de_servicios_de_salud_de_san_luis_potosí NP00000 1
, , Fc 1
Organismo_Descentralizado_de_la_Administración_Pública_Estatal_de_San_Luis_Potosí organismo_descentralizado_de_la_administración_pública_estatal_de_san_luis_potosí NP00000 1
( ( Fpa 1
“ “ Fra 1
Servicios_de_Salud_de_San_Luis_Potosí servicios_de_salud_de_san_luis_potosí NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
solicitó solicitar VMIS3S0 1
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
8 8 Z 1
( ( Fpa 1
ocho 8 Z 1
) ) Fpt 1
pares parar VMSP2S0 0.163795
de de SP 0.999961
frecuencias frecuencia NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
oficial oficial AQ0CS00 0.986284
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
136-174 136-174 Z 1
MHz mhz NP00000 1
, , Fc 1
para para SP 0.999834
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
protección protección NCFS000 1
y y CC 0.999989
calidad calidad NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
a a SP 0.998775
nivel nivel NCMS000 1
estatal estatal AQ0CS00 1
y y CC 0.999989
estar estar VMN0000 0.999154
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
proporcionar proporcionar VMN0000 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
médicos médico AQ0MP00 0.115385
a a SP 0.998775
la el DA0FS0 0.98926
población población NCFS000 1
tanto tanto RG 0.806143
en en SP 1
hospitales hospital NCMP000 1
como como CS 0.967153
en en SP 1
centros centro NCMP000 1
de de SP 0.999961
salud salud NCFS000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud solicitud NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

La el DA0FS0 0.98926
Solicitud solicitud NP00000 1
fue ser VSIS3S0 0.980739
remitida remitir VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
a a SP 0.998775
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Comisión comisión NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
2.1.203.-8239 2.1.203.-8239 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
8_de_noviembre_de_2011 [??:8/11/2011:??.??:??] W 1
, , Fc 1
para para SP 0.999834
que que CS 0.449861
dicho decir VMP00SM 0.997159
órgano órgano NCMS000 1
desconcentrado desconcentrado AQ0MS00 1
emitiera emitir VMSI3S0 0.65
la el DA0FS0 0.98926
opinión opinión NCFS000 1
respectiva respectivo AQ0FS00 1
. . Fp 1

Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
