RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_A_UCA_COMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_a_uca_comunicaciones NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
TRANSITAR_A_LA_CONCESIÓN_ÚNICA_PARA_USO_COMERCIAL_Y_COMO_CONSECUENCIA_LA_CONSOLIDACIÓN_DE_SUS_TÍTULOS_DE_CONCESIÓN_PARA_INSTALAR transitar_a_la_concesión_única_para_uso_comercial_y_como_consecuencia_la_consolidación_de_sus_títulos_de_concesión_para_instalar NP00000 1
, , Fc 1
OPERAR_Y_EXPLOTAR_REDES_PÚBLICAS_DE_TELECOMUNICACIONES operar_y_explotar_redes_públicas_de_telecomunicaciones NP00000 1
, , Fc 1
EN_UNA_CONCESIÓN_ÚNICA_PARA_USO_COMERCIAL en_una_concesión_única_para_uso_comercial NP00000 1
. . Fp 1

ANTECEDENTES_Otorgamiento_de_la_Primera_Concesión antecedentes_otorgamiento_de_la_primera_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
1_de_agosto_de_2000 [??:1/8/2000:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
a_favor_de a_favor_de SP 1
el el DA0MS0 1
C._Juan_Francisco_Cáceres_de_la_Fuente c._juan_francisco_cáceres_de_la_fuente NP00000 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
, , Fc 1
con con SP 1
cobertura cobertura NCFS000 1
en en SP 1
Tenosique tenosique NP00000 1
, , Fc 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
, , Fc 1
con con SP 1
una uno DI0FS0 0.951973
vigencia vigencia NCFS000 1
de de SP 0.999961
30 30 Z 1
( ( Fpa 1
treinta 30 Z 1
) ) Fpt 1
años año NCMP000 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Primera_Concesión primera_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Otorgamiento_de_la_Segunda_Concesión otorgamiento_de_la_segunda_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
5_de_noviembre_de_2007 [??:5/11/2007:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
otorgó otorgar VMIS3S0 1
a_favor_de a_favor_de SP 1
UCA_Comunicaciones uca_comunicaciones NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
, , Fc 1
con con SP 1
cobertura cobertura NCFS000 1
en en SP 1
Luis_Gil_Pérez luis_gil_pérez NP00000 1
, , Fc 1
Municipio_de_Centro municipio_de_centro NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
, , Fc 1
con con SP 1
una uno DI0FS0 0.951973
vigencia vigencia NCFS000 1
de de SP 0.999961
30 30 Z 1
( ( Fpa 1
treinta 30 Z 1
) ) Fpt 1
años año NCMP000 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Segunda_Concesión segunda_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Cesión_de_Derechos cesión_de_derechos NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
18_de_febrero_de_2008 [??:18/2/2008:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
cesión cesión NCFS000 1
de de SP 0.999961
derechos derecho NCMP000 0.996795
de de SP 0.999961
la el DA0FS0 0.98926
Primera_Concesión primera_concesión NP00000 1
a_favor_de a_favor_de SP 1
UCA_Comunicaciones uca_comunicaciones NP00000 1
, , Fc 1
S.A._de_C.V._Ampliación s.a._de_c.v._ampliación NP00000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Primera_Concesión primera_concesión NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
22_de_febrero_de_2008 [??:22/2/2008:??.??:??] W 1
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Dirección_General_de_Redes dirección_general_de_redes NP00000 1
, , Fc 1
Espectro espectro NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
“ “ Fra 1
A a SP 0.998775
” ” Frc 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Servicios unidad_de_servicios NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Industria industria NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Comisión comisión NP00000 0.331016
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
CFT/D03/USI/DGA/0327/08 CFT/D03/USI/DGA/0327/08 Z 1
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
ampliación ampliación NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Primera_Concesión primera_concesión NP00000 1
hacia hacia SP 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
de de SP 0.999961
Arena_de_Hidalgo arena_de_hidalgo NP00000 1
, , Fc 1
Municipio_de_Tenosique municipio_de_tenosique NP00000 1
, , Fc 1
y y CC 0.999989
Gregorio_Méndez_Magaña gregorio_méndez_magaña NP00000 1
( ( Fpa 1
Pénjamo pénjamo NP00000 1
) ) Fpt 1
, , Fc 1
Municipio_de_Emiliano_Zapata municipio_de_emiliano_zapata NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
. . Fp 1

Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
