ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_SE_PRONUNCIA_NO_SER_COMPETENTE_PARA_CONOCER_SOBRE_LA_CONCENTRACIÓN_RADICADA_EN_EL_EXPEDIENTE acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_se_pronuncia_no_ser_competente_para_conocer_sobre_la_concentración_radicada_en_el_expediente NP00000 1
CNT-060-2016 CNT-060-2016 Z 1
DE_EL_ÍNDICE_DE_LA_COMISIÓN_FEDERAL_DE_COMPETENCIA_ECONÓMICA_I._ANTECEDENTES_Con de_el_índice_de_la_comisión_federal_de_competencia_económica_i._antecedentes_con NP00000 1
fecha fecha NCFS000 0.990741
veintiuno_de_junio_de_dos_mil_dieciséis [??:21/6/2016:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
ST-CFCE-2016-131 ST-CFCE-2016-131 Z 1
, , Fc 1
el el DA0MS0 1
Secretario_Técnico_de_la_Comisión_Federal_de_Competencia_Económica secretario_técnico_de_la_comisión_federal_de_competencia_económica NP00000 1
( ( Fpa 1
STCOFECE stcofece NP00000 1
) ) Fpt 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Competencia_Económica unidad_de_competencia_económica NP00000 1
( ( Fpa 1
UCE uce NP00000 0.47288
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
Instituto instituto NP00000 0.331016
) ) Fpt 1
emitir emitir VMN0000 1
opinión opinión NCFS000 1
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
consideraciones consideración NCFP000 1
en en SP 1
relación relación NCFS000 1
con con SP 1
una uno DI0FS0 0.951973
concentración concentración NCFS000 1
radicada radicar VMP00SF 1
en en SP 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
CNT-060-2016 CNT-060-2016 Z 1
( ( Fpa 1
Concentración concentración NP00000 0.331016
) ) Fpt 1
de de SP 1
el el DA0MS0 1
índice índice NCMS000 1
de de SP 0.999961
esa ese DD0FS0 0.964505
Comisión_Federal_de_Competencia_Económica comisión_federal_de_competencia_económica NP00000 1
( ( Fpa 1
COFECE cofece NP00000 1
) ) Fpt 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
veintiocho_de_junio_de_dos_mil_dieciséis [??:28/6/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
UCE_de_el_Instituto uce_de_el_instituto NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/226/UCE/099/2016 IFT/226/UCE/099/2016 Z 1
solicitó solicitar VMIS3S0 1
a a SP 1
el el DA0MS0 1
STCOFECE stcofece NP00000 1
información información NCFS000 1
adicional adicional AQ0CS00 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
Concentración concentración NP00000 1
para para SP 0.999834
estar estar VMN0000 0.999154
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
emitir emitir VMN0000 1
una uno DI0FS0 0.951973
opinión opinión NCFS000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
uno_de_julio_de_dos_mil_dieciséis [??:1/7/2016:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
ST-CFCE-2016-136 ST-CFCE-2016-136 Z 1
el el DA0MS0 1
STCOFECE stcofece NP00000 1
aportó aportar VMIS3S0 1
una uno DI0FS0 0.951973
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
información información NCFS000 1
solicitada solicitar VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
UCE uce NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
quince_de_julio_de_dos_mil_dieciséis [??:15/7/2016:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
número número NCMS000 1
IFT/226/UCE/111/2016 IFT/226/UCE/111/2016 Z 1
, , Fc 1
la el DA0FS0 0.98926
UCE uce NP00000 1
informó informar VMIS3S0 1
a a SP 1
el el DA0MS0 1
STCOFECE stcofece NP00000 1
que que CS 0.449861
la el DA0FS0 0.98926
información información NCFS000 1
adicional adicional AQ0CS00 1
proporcionada proporcionar VMP00SF 1
no no RN 0.999297
era ser VSII3S0 0.491317
suficiente suficiente AQ0CS00 0.993994
para para SP 0.999834
emitir emitir VMN0000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
solicitada solicitar VMP00SF 1
. . Fp 1

En en SP 1
particular particular AQ0CS00 0.827869
, , Fc 1
no no RN 0.999297
era ser VSII3S0 0.491317
suficiente suficiente AQ0CS00 0.993994
para para SP 0.999834
determinar determinar VMN0000 1
si si CS 0.999827
la el DA0FS0 0.98926
Concentración concentración NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
asunto asunto NCMS000 1
que que PR0CN00 0.550139
correspondería corresponder VMIC3S0 0.65
conocer conocer VMN0000 1
a a SP 0.998775
este este DD0MS0 0.949201
Instituto instituto NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
treinta_y_uno_de_agosto_de_dos_mil_dieciséis [??:31/8/2016:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
ST-CFCE-2016-189 ST-CFCE-2016-189 Z 1
, , Fc 1
el el DA0MS0 1
STCOFECE stcofece NP00000 1
proporcionó proporcionar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
UCE uce NP00000 1
información información NCFS000 1
adicional adicional AQ0CS00 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
Concentración concentración NP00000 1
que que PR0CN00 0.550139
atendió atender VMIS3S0 1
parcialmente parcialmente RG 1
lo el DA00S0 0.665165
solicitado solicitar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_Segundo antecedente_segundo NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
