ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_APRUEBA_EL_PROGRAMA_ANUAL_DE_TRABAJO_CORRESPONDIENTE_A_EL acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_aprueba_el_programa_anual_de_trabajo_correspondiente_a_el NP00000 1
AÑO_2018 [??:??/??/2018:??.??:??] W 1
QUE_PRESENTA_EL_COMISIONADO_PRESIDENTE que_presenta_el_comisionado_presidente NP00000 1
. . Fp 1

ANTECEDENTES_PRIMERO antecedentes_primero NP00000 1
. . Fp 1
- - Fg 1
Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
fue ser VSIS3S0 0.980739
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Decreto_Constitucional decreto_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
la el DA0FS0 0.98926
creación creación NCFS000 1
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
IFT ift NP00000 1
” ” Frc 1
) ) Fpt 1
como como CS 0.967153
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Con con SP 1
fecha fecha NCFS000 0.990741
10_de_septiembre_de_2013 [??:10/9/2013:??.??:??] W 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
vigésimo 20 AO0MS00 1
primer 1 AO0MS00 1
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
constitucional constitucional AQ0CS00 1
reformado reformar VMP00SM 1
por por SP 1
el el DA0MS0 1
Decreto_Constitucional decreto_constitucional NP00000 1
, , Fc 1
con_relación_a con_relación_a SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Sexto_Transitorio sexto_transitorio NP00000 1
, , Fc 1
quedó quedar VMIS3S0 1
debidamente debidamente RG 1
integrado integrar VMP00SM 1
el el DA0MS0 1
IFT ift NP00000 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
ratificación ratificación NCFS000 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 1
el el DA0MS0 1
Senado_de_la_República senado_de_la_república NP00000 1
de de SP 0.999961
los el DA0MP0 0.992728
nombramientos nombramiento NCMP000 1
de de SP 0.999961
los el DA0MP0 0.992728
Comisionados comisionados NP00000 1
que que PR0CN00 0.550139
integran integrar VMIP3P0 1
su su DP3CSN 1
Pleno pleno NP00000 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Con con SP 1
fecha fecha NCFS000 0.990741
14_de_julio_de_2014 [??:14/7/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF_el_Decreto dof_el_decreto NP00000 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
a a SP 0.998775
los el DA0MP0 0.992728
30_días TM_d:30 Zu 1
naturales natural AQ0CP00 0.991803
siguientes siguiente AQ0CP00 1
a a SP 0.998775
su su DP3CSN 1
publicación publicación NCFS000 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
su su DP3CSN 1
artículo artículo NCMS000 1
primero primero RG 0.313084
transitorio transitorio AQ0MS00 1
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

CUARTO cuarto NCMS000 0.343537
. . Fp 1
- - Fg 1
El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
